Jenis_Kelamin,Usia,Kelas,Program Studi,Asal_Sekolah,Kemampuan_Finansial,Jumlah_SKS_Ulang,Jumlah_Cuti,Label
L,27,Malam,Comp,SMA Negeri,Sangat Baik,14,0,Lulus Tepat Waktu
L,20,Shift,Comp,SMA Negeri,Sangat Baik,9,0,Lulus Tidak Tepat Waktu
L,21,Shift,Elins,SMA Negeri,Sangat Baik,3,0,Lulus Tepat Waktu
L,21,Shift,Elins,SMA Swasta,Sangat Baik,3,0,Lulus Tepat Waktu
L,21,Shift,Comp,SMA Swasta,Sangat Baik,3,0,Lulus Tepat Waktu
L,18,Reguler,Comp,SMA Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,25,Malam,Elins,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,21,Shift,Comp,SMK Swasta,Sangat Baik,12,1,Lulus Tidak Tepat Waktu
L,17,Malam,Elins,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,20,Shift,Comp,SMK Swasta,Sangat Baik,3,0,Lulus Tepat Waktu
P,21,Malam,Elins,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,26,Malam,Comp,SMK Swasta,Sangat Baik,3,0,Lulus Tepat Waktu
L,22,Malam,Comp,SMK Swasta,Sangat Baik,12,2,Lulus Tidak Tepat Waktu
L,18,Reguler,Elins,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,21,Malam,Comp,SMK Negeri,Sangat Baik,4,0,Lulus Tepat Waktu
P,18,Reguler,Elins,SMK Negeri,Sangat Baik,2,0,Lulus Tepat Waktu
L,24,Shift,Elins,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,20,Malam,Elins,SMK Negeri,Sangat Baik,38,3,Lulus Tidak Tepat Waktu
L,19,Reguler,Comp,SMK Swasta,Sangat Baik,12,0,Lulus Tepat Waktu
P,18,Malam,Elins,SMK Negeri,Sangat Baik,3,0,Lulus Tepat Waktu
L,18,Malam,Comp,SMK Negeri,Sangat Baik,12,4,Lulus Tidak Tepat Waktu
P,17,Malam,Comp,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,17,Reguler,Comp,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,18,Shift,Comp,SMK Negeri,Sangat Baik,6,0,Lulus Tepat Waktu
L,19,Shift,Comp,SMK Negeri,Sangat Baik,6,0,Lulus Tidak Tepat Waktu
L,18,Reguler,Comp,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,19,Malam,Elins,SMK Swasta,Sangat Baik,3,0,Lulus Tepat Waktu
L,19,Malam,Elins,SMA Negeri,Sangat Baik,3,0,Lulus Tepat Waktu
L,18,Reguler,Comp,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,25,Shift,Comp,SMA Negeri,Sangat Baik,3,0,Lulus Tepat Waktu
L,22,Shift,Comp,SMK Negeri,Sangat Baik,7,0,Lulus Tepat Waktu
L,19,Shift,Elins,SMK Swasta,Sangat Baik,17,2,Lulus Tidak Tepat Waktu
L,18,Malam,Comp,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
P,20,Shift,Elins,SMK Negeri,Sangat Baik,3,0,Lulus Tepat Waktu
L,21,Shift,Elins,SMK Negeri,Sangat Baik,3,0,Lulus Tepat Waktu
L,20,Shift,Comp,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,19,Reguler,Comp,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,20,Malam,Elins,SMK Swasta,Sangat Baik,7,0,Lulus Tepat Waktu
L,18,Reguler,Comp,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
P,20,Malam,Elins,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,21,Malam,Comp,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,18,Reguler,Comp,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,31,Malam,Elins,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,24,Shift,Comp,SMK Swasta,Sangat Baik,1,0,Lulus Tepat Waktu
L,18,Malam,Comp,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,18,Malam,Elins,SMK Swasta,Sangat Baik,7,0,Lulus Tepat Waktu
P,18,Shift,Elins,SMK Negeri,Sangat Baik,2,0,Lulus Tepat Waktu
L,18,Malam,Elins,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,20,Malam,Elins,SMA Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,17,Reguler,Elins,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,18,Reguler,Elins,SMA Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,18,Reguler,Elins,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,19,Malam,Elins,SMK Negeri,Sangat Baik,6,0,Lulus Tepat Waktu
L,20,Shift,Elins,SMK Swasta,Sangat Baik,2,0,Lulus Tepat Waktu
L,21,Malam,Elins,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,23,Malam,Elins,SMK Swasta,Sangat Baik,2,0,Lulus Tepat Waktu
L,18,Reguler,Elins,SMA Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,20,Reguler,Elins,SMK Negeri,Sangat Baik,0,0,Lulus Tepat Waktu
L,18,Reguler,Elins,SMK Swasta,Sangat Baik,0,0,Lulus Tepat Waktu
L,20,Malam,Elins,SMK Swasta,Sangat Baik,2,0,Lulus Tepat Waktu
